Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
Turkey,2016,24,39.58,No,No
Turkey,2016,30,0.00,No,No
Turkey,2016,40,2.46,No,No
Turkey,2016,47,0.00,No,No
Turkey,2016,72,6.50,No,No
Turkey,2016,73,1.92,No,No
Turkey,2016,87,5.84,No,No
Turkey,2016,94,2.19,No,No
Turkey,2016,95,2.34,No,No
Turkey,2015,02,139.52,No,No
Turkey,2015,07,20.85,No,No
Turkey,2015,08,47.99,No,No
Turkey,2015,09,39.46,No,No
Turkey,2015,10,66.20,No,No
Turkey,2015,11,35.51,No,No
Turkey,2015,14,0.00,No,No
Turkey,2015,15,17.07,No,No
Turkey,2015,16,78.95,No,No
Turkey,2015,17,93.75,No,No
Turkey,2015,18,8.84,No,No
Turkey,2015,19,12.42,No,No
Turkey,2015,20,54.20,No,No
Turkey,2015,22,19.95,No,No
Turkey,2015,24,39.58,No,No
Turkey,2015,30,0.00,No,No
Turkey,2015,40,2.46,No,No
Turkey,2015,47,0.00,No,No
Turkey,2015,72,6.37,No,No
Turkey,2015,73,1.92,No,No
Turkey,2015,87,5.84,No,No
Turkey,2015,94,2.19,No,No
Turkey,2015,95,2.34,No,No
Turkey,2014,02,139.52,No,No
Turkey,2014,07,20.67,No,No
Turkey,2014,08,48.22,No,No
Turkey,2014,09,39.46,No,No
Turkey,2014,10,67.60,No,No
Turkey,2014,11,36.55,No,No
Turkey,2014,14,0.00,No,No
Turkey,2014,15,16.66,No,No
Turkey,2014,16,78.95,No,No
Turkey,2014,17,91.34,No,No
Turkey,2014,18,8.84,No,No
Turkey,2014,19,8.47,No,No
Turkey,2014,20,52.60,No,No
Turkey,2014,22,20.29,No,No
Turkey,2014,24,39.58,No,No
Turkey,2014,30,0.00,No,No
Turkey,2014,40,2.46,No,No
Turkey,2014,47,0.00,No,No
Turkey,2014,72,5.42,No,No
Turkey,2014,73,1.92,No,No
Turkey,2014,87,5.84,No,No
Turkey,2014,94,2.19,No,No
Turkey,2014,95,2.34,No,No
Turkey,2013,02,139.52,No,No
Turkey,2013,07,20.67,No,No
Turkey,2013,08,48.22,No,No
Turkey,2013,09,39.46,No,No
Turkey,2013,10,67.60,No,No
Turkey,2013,11,36.55,No,No
Turkey,2013,14,0.00,No,No
Turkey,2013,15,16.66,No,No
Turkey,2013,16,78.95,No,No
Turkey,2013,17,91.34,No,No
Turkey,2013,18,8.84,No,No
Turkey,2013,19,8.47,No,No
Turkey,2013,20,52.60,No,No
Turkey,2013,22,20.29,No,No
Turkey,2013,24,39.58,No,No
Turkey,2013,30,0.00,No,No
Turkey,2013,40,2.46,No,No
Turkey,2013,47,0.00,No,No
Turkey,2013,72,5.42,No,No
Turkey,2013,73,1.92,No,No
Turkey,2013,87,5.84,No,No
Turkey,2013,94,2.19,No,No
Turkey,2013,95,2.34,No,No
Turkey,2012,02,139.54,No,No
Turkey,2012,07,21.62,No,No
