,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
42,42,42,42,5.327647126,"{'colsample_bylevel': 0.5797036100870239, 'colsample_bytree': 0.7532143404338041, 'gamma': 14.415522883211047, 'learning_rate': 0.07749856954273958, 'max_depth': 17, 'min_child_weight': 26, 'n_estimators': 390, 'reg_alpha': 17, 'reg_lambda': 18.781675631281928, 'subsample': 0.48478765743948204}",73,131.2498281
43,43,43,43,5.374339028,"{'colsample_bylevel': 0.9300911532505564, 'colsample_bytree': 0.5108139531970859, 'gamma': 14.94170496506853, 'learning_rate': 0.08648720928744394, 'max_depth': 18, 'min_child_weight': 3, 'n_estimators': 279, 'reg_alpha': 16, 'reg_lambda': 46.275246668244776, 'subsample': 0.8065397726798116}",94,155.5731332
44,44,44,44,5.397022424,"{'colsample_bylevel': 0.7372398632598419, 'colsample_bytree': 0.9153823600359422, 'gamma': 6.634270717321343, 'learning_rate': 0.19542069762739098, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 211, 'reg_alpha': 2, 'reg_lambda': 14.983937888368246, 'subsample': 0.731931746712428}",43,42.01188836
45,45,45,45,5.468212381,"{'colsample_bylevel': 0.30263448790011704, 'colsample_bytree': 0.6779378732168413, 'gamma': 8.791981741884214, 'learning_rate': 0.15341568735357872, 'max_depth': 18, 'min_child_weight': 14, 'n_estimators': 362, 'reg_alpha': 28, 'reg_lambda': 50.22406073465581, 'subsample': 0.6687341432997194}",39,87.03072928
46,46,46,46,5.498270793,"{'colsample_bylevel': 0.4825227961785964, 'colsample_bytree': 0.9452953978531389, 'gamma': 12.238834408825943, 'learning_rate': 0.16302642419384814, 'max_depth': 14, 'min_child_weight': 24, 'n_estimators': 137, 'reg_alpha': 11, 'reg_lambda': 37.315633289087934, 'subsample': 0.8994585318929897}",54,31.08418232
47,47,47,47,5.518659851,"{'colsample_bylevel': 0.7674543760607372, 'colsample_bytree': 0.7139886861365564, 'gamma': 11.896900702813541, 'learning_rate': 0.1485354194593152, 'max_depth': 16, 'min_child_weight': 2, 'n_estimators': 160, 'reg_alpha': 25, 'reg_lambda': 43.326553110577464, 'subsample': 0.3159800677920521}",87,65.76609915
48,48,48,48,5.521778978,"{'colsample_bylevel': 0.5435214368359165, 'colsample_bytree': 0.7783282518790627, 'gamma': 1.1359882921492295, 'learning_rate': 0.10884559834440835, 'max_depth': 15, 'min_child_weight': 25, 'n_estimators': 240, 'reg_alpha': 20, 'reg_lambda': 85.36153623551868, 'subsample': 0.7228866694355413}",53,62.23444426
49,49,49,49,5.533279088,"{'colsample_bylevel': 0.8345298786791111, 'colsample_bytree': 0.7686256177906106, 'gamma': 8.138339566814821, 'learning_rate': 0.14059362060365407, 'max_depth': 12, 'min_child_weight': 16, 'n_estimators': 315, 'reg_alpha': 9, 'reg_lambda': 35.81095758460528, 'subsample': 0.7481804284808202}",77,46.57421016
50,50,50,50,5.555536448,"{'colsample_bylevel': 0.42640333415506165, 'colsample_bytree': 0.43562780105330406, 'gamma': 11.89192157300441, 'learning_rate': 0.279872836254454, 'max_depth': 22, 'min_child_weight': 13, 'n_estimators': 608, 'reg_alpha': 28, 'reg_lambda': 86.24309060346678, 'subsample': 0.8568799484979052}",10,106.6347028
51,51,51,51,5.55836059,"{'colsample_bylevel': 0.7554715535773667, 'colsample_bytree': 0.8103442417635994, 'gamma': 14.922324883841172, 'learning_rate': 0.06561695142034236, 'max_depth': 13, 'min_child_weight': 6, 'n_estimators': 358, 'reg_alpha': 23, 'reg_lambda': 41.467991892969714, 'subsample': 0.677262698875023}",60,73.74505852
52,52,52,52,5.580004462,"{'colsample_bylevel': 0.724077591118087, 'colsample_bytree': 0.815252116935295, 'gamma': 11.072602650730035, 'learning_rate': 0.03548096501929548, 'max_depth': 13, 'min_child_weight': 8, 'n_estimators': 567, 'reg_alpha': 17, 'reg_lambda': 25.68404709357534, 'subsample': 0.5605151019237247}",88,115.3156139
53,53,53,53,5.599200654,"{'colsample_bylevel': 0.6977031916810936, 'colsample_bytree': 0.309939350239251, 'gamma': 12.305451318702865, 'learning_rate': 0.25653575751262686, 'max_depth': 22, 'min_child_weight': 23, 'n_estimators': 593, 'reg_alpha': 9, 'reg_lambda': 49.14504265462646, 'subsample': 0.7962674919405722}",5,118.7349175
54,54,54,54,5.625742997,"{'colsample_bylevel': 0.8452224522540439, 'colsample_bytree': 0.38473862284776567, 'gamma': 11.42134596387033, 'learning_rate': 0.09733546911029511, 'max_depth': 21, 'min_child_weight': 4, 'n_estimators': 512, 'reg_alpha': 14, 'reg_lambda': 54.180527473034005, 'subsample': 0.46954058466473036}",4,200.7194101
55,55,55,55,5.659698738,"{'colsample_bylevel': 0.39272437338333405, 'colsample_bytree': 0.6374888281197824, 'gamma': 5.877413833299677, 'learning_rate': 0.07551557787333434, 'max_depth': 19, 'min_child_weight': 20, 'n_estimators': 312, 'reg_alpha': 26, 'reg_lambda': 89.74434624103733, 'subsample': 0.49504647170936067}",14,100.7828291
56,56,56,56,5.671534251,"{'colsample_bylevel': 0.5140469069176351, 'colsample_bytree': 0.9535455035207672, 'gamma': 10.292173154448445, 'learning_rate': 0.07160436198638458, 'max_depth': 15, 'min_child_weight': 3, 'n_estimators': 125, 'reg_alpha': 23, 'reg_lambda': 60.740015595141784, 'subsample': 0.6967079055411963}",29,49.08409324
57,57,57,57,5.675716547,"{'colsample_bylevel': 0.9486725798344062, 'colsample_bytree': 0.7054025564339877, 'gamma': 13.09822954559878, 'learning_rate': 0.042264442529354504, 'max_depth': 12, 'min_child_weight': 2, 'n_estimators': 517, 'reg_alpha': 19, 'reg_lambda': 20.509927601502635, 'subsample': 0.6983525570574156}",25,97.1146661
