,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
54,54,54,5.992744822,"{'colsample_bylevel': 0.49545297264901356, 'colsample_bytree': 0.5819385594639307, 'gamma': 14.05304790067809, 'learning_rate': 0.18577597677610724, 'max_depth': 19, 'min_child_weight': 8, 'n_estimators': 111, 'reg_alpha': 6, 'reg_lambda': 50.174475471321855, 'subsample': 0.7045763713330981}",41,63.8723322
55,55,55,6.026908347,"{'colsample_bylevel': 0.23316546055225418, 'colsample_bytree': 0.8324060085524263, 'gamma': 3.51753076230044, 'learning_rate': 0.196082067988409, 'max_depth': 22, 'min_child_weight': 11, 'n_estimators': 514, 'reg_alpha': 27, 'reg_lambda': 45.55253903183556, 'subsample': 0.379552687939392}",54,249.3877581
56,56,56,6.053720107,"{'colsample_bylevel': 0.8057306847574578, 'colsample_bytree': 0.8522230947125997, 'gamma': 13.253124009537752, 'learning_rate': 0.062072171373588336, 'max_depth': 26, 'min_child_weight': 10, 'n_estimators': 81, 'reg_alpha': 2, 'reg_lambda': 80.85138383939262, 'subsample': 0.45751071714298563}",66,119.4345006
57,57,57,6.077767215,"{'colsample_bylevel': 0.8604365738452242, 'colsample_bytree': 0.8731241365635348, 'gamma': 8.345595480293408, 'learning_rate': 0.02751194320040609, 'max_depth': 12, 'min_child_weight': 14, 'n_estimators': 590, 'reg_alpha': 3, 'reg_lambda': 47.67006864403626, 'subsample': 0.8970414502111034}",33,75.67597243
58,58,58,6.084432337,"{'colsample_bylevel': 0.5473898222014736, 'colsample_bytree': 0.8115720468107108, 'gamma': 10.860611087443457, 'learning_rate': 0.03354195891902324, 'max_depth': 19, 'min_child_weight': 5, 'n_estimators': 180, 'reg_alpha': 0, 'reg_lambda': 86.25976959844893, 'subsample': 0.6339327353298163}",77,131.2460699
59,59,59,6.125674205,"{'colsample_bylevel': 0.7506762411687922, 'colsample_bytree': 0.9663677216176173, 'gamma': 4.604882717479601, 'learning_rate': 0.06343671122525045, 'max_depth': 11, 'min_child_weight': 29, 'n_estimators': 474, 'reg_alpha': 19, 'reg_lambda': 88.45959920218073, 'subsample': 0.8917434131687123}",56,38.22536251
60,60,60,6.155252433,"{'colsample_bylevel': 0.8346236169182166, 'colsample_bytree': 0.878068910745611, 'gamma': 10.966511370655727, 'learning_rate': 0.0988532076242924, 'max_depth': 10, 'min_child_weight': 18, 'n_estimators': 647, 'reg_alpha': 3, 'reg_lambda': 85.29816854143303, 'subsample': 0.6409605195306382}",67,39.28853183
61,61,61,6.235791135,"{'colsample_bylevel': 0.4049495310910514, 'colsample_bytree': 0.3340176603026025, 'gamma': 9.84759245215814, 'learning_rate': 0.21088253056495293, 'max_depth': 27, 'min_child_weight': 12, 'n_estimators': 461, 'reg_alpha': 28, 'reg_lambda': 16.413446238496917, 'subsample': 0.6762171048321346}",62,420.6239189
62,62,62,6.268222529,"{'colsample_bylevel': 0.5764766705932519, 'colsample_bytree': 0.3996952330159603, 'gamma': 7.809415216954413, 'learning_rate': 0.1089245508334324, 'max_depth': 16, 'min_child_weight': 13, 'n_estimators': 410, 'reg_alpha': 22, 'reg_lambda': 20.978790184541268, 'subsample': 0.7087836431614101}",57,98.35710199
63,63,63,6.277604018,"{'colsample_bylevel': 0.3229618183488625, 'colsample_bytree': 0.7430197037972434, 'gamma': 14.822458272130941, 'learning_rate': 0.05034656790712221, 'max_depth': 16, 'min_child_weight': 21, 'n_estimators': 372, 'reg_alpha': 26, 'reg_lambda': 68.55645743283357, 'subsample': 0.45863959740330906}",88,71.91040163
64,64,64,6.312694767,"{'colsample_bylevel': 0.7880879500412448, 'colsample_bytree': 0.6429284547138735, 'gamma': 0.023959760754377335, 'learning_rate': 0.2471957988043997, 'max_depth': 9, 'min_child_weight': 26, 'n_estimators': 573, 'reg_alpha': 4, 'reg_lambda': 52.70536997316298, 'subsample': 0.9235911527309606}",51,26.45032315
65,65,65,6.373746212,"{'colsample_bylevel': 0.5271445864830493, 'colsample_bytree': 0.7274113821866891, 'gamma': 0.7569665631092504, 'learning_rate': 0.23537606871241382, 'max_depth': 9, 'min_child_weight': 8, 'n_estimators': 392, 'reg_alpha': 1, 'reg_lambda': 5.718401560972253, 'subsample': 0.8830349376049169}",5,19.24920266
66,66,66,6.392625765,"{'colsample_bylevel': 0.4572528295363138, 'colsample_bytree': 0.7802781945508432, 'gamma': 11.368126364747354, 'learning_rate': 0.006861073188766567, 'max_depth': 25, 'min_child_weight': 20, 'n_estimators': 630, 'reg_alpha': 23, 'reg_lambda': 79.11795356284685, 'subsample': 0.7519959015242171}",75,552.2627235
67,67,67,6.407868164,"{'colsample_bylevel': 0.5424245747317034, 'colsample_bytree': 0.8210591323575873, 'gamma': 1.4622323444547218, 'learning_rate': 0.1862338080560704, 'max_depth': 11, 'min_child_weight': 1, 'n_estimators': 161, 'reg_alpha': 29, 'reg_lambda': 58.78915733715182, 'subsample': 0.6815375597516414}",36,15.39954311
68,68,68,6.456963505,"{'colsample_bylevel': 0.8642062489042474, 'colsample_bytree': 0.7524612777789288, 'gamma': 5.882282312054592, 'learning_rate': 0.05305789637139489, 'max_depth': 10, 'min_child_weight': 26, 'n_estimators': 591, 'reg_alpha': 26, 'reg_lambda': 35.330406585189735, 'subsample': 0.5587846911175687}",15,36.67090425
69,69,69,6.518583369,"{'colsample_bylevel': 0.5483716312626856, 'colsample_bytree': 0.8884303538625321, 'gamma': 9.637492083464268, 'learning_rate': 0.15168213686512483, 'max_depth': 13, 'min_child_weight': 22, 'n_estimators': 65, 'reg_alpha': 25, 'reg_lambda': 64.44268428774893, 'subsample': 0.6209229050183245}",50,9.167038945
